时段序号,时间段,电价(元/kWh),小区负载(kW),光伏预测功率(kW),负载电量(kWh),光伏电量(kWh),净负荷(kWh),计划购电量(kWh),充电量(kWh),放电量(kWh),弃光电量(kWh),时段末储电量(kWh),该时段购电费(元)
1,0:00-0:10,0.424800,3439.846600,0.000000,573.307767,0.000000,573.307767,1406.641100,833.333333,0.000000,0.000000,6750.000000,597.541139
2,0:10-0:20,0.424500,3437.979200,0.000000,572.996533,0.000000,572.996533,1406.329867,833.333333,0.000000,0.000000,7500.000000,596.987028
3,0:20-0:30,0.426900,3444.303100,0.000000,574.050517,0.000000,574.050517,1407.383850,833.333333,0.000000,0.000000,8250.000000,600.812166
4,0:30-0:40,0.427200,3454.443700,0.000000,575.740617,0.000000,575.740617,1409.073950,833.333333,0.000000,0.000000,9000.000000,601.956391
5,0:40-0:50,0.427100,3458.827300,0.000000,576.471217,0.000000,576.471217,1409.804550,833.333333,0.000000,0.000000,9750.000000,602.127523
6,0:50-1:00,0.428500,3459.840100,0.000000,576.640017,0.000000,576.640017,576.640017,0.000000,0.000000,0.000000,9750.000000,247.090247
7,1:00-1:10,0.431100,3467.158200,0.000000,577.859700,0.000000,577.859700,577.859700,0.000000,0.000000,0.000000,9750.000000,249.115317
8,1:10-1:20,0.430200,3467.963200,0.000000,577.993867,0.000000,577.993867,577.993867,0.000000,0.000000,0.000000,9750.000000,248.652961
9,1:20-1:30,0.427900,3466.968300,0.000000,577.828050,0.000000,577.828050,911.161383,333.333333,0.000000,0.000000,10050.000000,389.885956
10,1:30-1:40,0.431200,3482.492700,0.000000,580.415450,0.000000,580.415450,580.415450,0.000000,0.000000,0.000000,10050.000000,250.275142
11,1:40-1:50,0.433300,3495.084100,0.000000,582.514017,0.000000,582.514017,582.514017,0.000000,0.000000,0.000000,10050.000000,252.403323
12,1:50-2:00,0.431100,3498.444300,0.000000,583.074050,0.000000,583.074050,583.074050,0.000000,0.000000,0.000000,10050.000000,251.363223
13,2:00-2:10,0.429300,3505.229500,0.000000,584.204917,0.000000,584.204917,584.204917,0.000000,0.000000,0.000000,10050.000000,250.799171
14,2:10-2:20,0.432400,3512.638700,0.000000,585.439783,0.000000,585.439783,585.439783,0.000000,0.000000,0.000000,10050.000000,253.144162
15,2:20-2:30,0.436700,3516.868500,0.000000,586.144750,0.000000,586.144750,586.144750,0.000000,0.000000,0.000000,10050.000000,255.969412
16,2:30-2:40,0.434800,3517.924600,0.000000,586.320767,0.000000,586.320767,586.320767,0.000000,0.000000,0.000000,10050.000000,254.932269
17,2:40-2:50,0.433500,3518.551800,0.000000,586.425300,0.000000,586.425300,586.425300,0.000000,0.000000,0.000000,10050.000000,254.215368
18,2:50-3:00,0.435700,3521.097600,0.000000,586.849600,0.000000,586.849600,586.849600,0.000000,0.000000,0.000000,10050.000000,255.690371
19,3:00-3:10,0.437400,3526.926100,0.000000,587.821017,0.000000,587.821017,587.821017,0.000000,0.000000,0.000000,10050.000000,257.112913
20,3:10-3:20,0.437100,3537.285400,0.000000,589.547567,0.000000,589.547567,589.547567,0.000000,0.000000,0.000000,10050.000000,257.691241
21,3:20-3:30,0.435600,3544.880800,0.000000,590.813467,0.000000,590.813467,590.813467,0.000000,0.000000,0.000000,10050.000000,257.358346
22,3:30-3:40,0.435300,3541.278700,0.000000,590.213117,0.000000,590.213117,590.213117,0.000000,0.000000,0.000000,10050.000000,256.919770
23,3:40-3:50,0.436000,3546.397600,0.000000,591.066267,0.000000,591.066267,591.066267,0.000000,0.000000,0.000000,10050.000000,257.704892
24,3:50-4:00,0.437800,3560.207000,0.000000,593.367833,0.000000,593.367833,593.367833,0.000000,0.000000,0.000000,10050.000000,259.776437
25,4:00-4:10,0.440100,3561.958100,0.000000,593.659683,0.000000,593.659683,593.659683,0.000000,0.000000,0.000000,10050.000000,261.269627
26,4:10-4:20,0.438900,3556.718300,0.000000,592.786383,0.000000,592.786383,592.786383,0.000000,0.000000,0.000000,10050.000000,260.173944
27,4:20-4:30,0.436400,3560.027200,0.000000,593.337867,0.000000,593.337867,593.337867,0.000000,0.000000,0.000000,10050.000000,258.932645
28,4:30-4:40,0.439300,3580.654000,0.599400,596.775667,0.099900,596.675767,596.675767,0.000000,0.000000,0.000000,10050.000000,262.119664
29,4:40-4:50,0.442200,3586.916000,0.234500,597.819333,0.039083,597.780250,597.780250,0.000000,0.000000,0.000000,10050.000000,264.338427
30,4:50-5:00,0.439500,3571.263500,0.288500,595.210583,0.048083,595.162500,595.162500,0.000000,0.000000,0.000000,10050.000000,261.573919
31,5:00-5:10,0.433300,3562.317100,18.678100,593.719517,3.113017,590.606500,590.606500,0.000000,0.000000,0.000000,10050.000000,255.909796
32,5:10-5:20,0.443900,3591.380900,54.469800,598.563483,9.078300,589.485183,589.485183,0.000000,0.000000,0.000000,10050.000000,261.672473
33,5:20-5:30,0.430100,3579.704500,108.971800,596.617417,18.161967,578.455450,578.455450,0.000000,0.000000,0.000000,10050.000000,248.793689
34,5:30-5:40,0.371300,3486.119000,184.160300,581.019833,30.693383,550.326450,1383.659783,833.333333,0.000000,0.000000,10800.000000,513.752878
35,5:40-5:50,0.570800,3823.899400,277.058200,637.316567,46.176367,591.140200,591.140200,0.000000,0.000000,0.000000,10800.000000,337.422826
36,5:50-6:00,0.909900,4398.072700,388.549400,733.012117,64.758233,668.253883,0.000000,0.000000,668.253883,0.000000,10057.495685,0.000000
37,6:00-6:10,0.936800,4454.012300,521.280300,742.335383,86.880050,655.455333,0.000000,0.000000,655.455333,0.000000,9329.211981,0.000000
38,6:10-6:20,0.875800,4371.791900,672.767700,728.631983,112.127950,616.504033,0.000000,0.000000,616.504033,0.000000,8644.207500,0.000000
39,6:20-6:30,0.875900,4392.953000,844.226100,732.158833,140.704350,591.454483,0.000000,0.000000,591.454483,0.000000,7987.035852,0.000000
40,6:30-6:40,0.860100,4384.595600,1039.674400,730.765933,173.279067,557.486867,0.000000,0.000000,557.486867,0.000000,7367.606000,0.000000
41,6:40-6:50,0.844200,4434.775700,1259.337500,739.129283,209.889583,529.239700,0.000000,0.000000,529.239700,0.000000,6779.561889,0.000000
42,6:50-7:00,0.833400,4523.456100,1508.631800,753.909350,251.438633,502.470717,0.000000,0.000000,502.470717,0.000000,6221.261093,0.000000
43,7:00-7:10,0.809200,4524.072100,1791.410700,754.012017,298.568450,455.443567,0.000000,0.000000,455.443567,0.000000,5715.212685,0.000000
44,7:10-7:20,0.797200,4545.886700,2085.486500,757.647783,347.581083,410.066700,0.000000,0.000000,410.066700,0.000000,5259.583019,0.000000
45,7:20-7:30,0.764400,4523.241800,2381.261100,753.873633,396.876850,356.996783,0.000000,0.000000,356.996783,0.000000,4862.919926,0.000000
46,7:30-7:40,0.689900,4383.356600,2683.175200,730.559433,447.195867,283.363567,0.000000,0.000000,283.363567,0.000000,4548.071519,0.000000
47,7:40-7:50,0.860000,4910.459900,2986.355200,818.409983,497.725867,320.684117,0.000000,0.000000,320.684117,0.000000,4191.755833,0.000000
48,7:50-8:00,1.161700,5799.732700,3289.204000,966.622117,548.200667,418.421450,0.000000,0.000000,418.421450,0.000000,3726.843111,0.000000
49,8:00-8:10,1.168300,5884.826000,3593.361300,980.804333,598.893550,381.910783,0.000000,0.000000,381.910783,0.000000,3302.497796,0.000000
50,8:10-8:20,1.095600,5748.071300,3890.733200,958.011883,648.455533,309.556350,0.000000,0.000000,309.556350,0.000000,2958.546296,0.000000
51,8:20-8:30,1.084900,5769.058100,4181.341700,961.509683,696.890283,264.619400,0.000000,0.000000,264.619400,0.000000,2664.524741,0.000000
52,8:30-8:40,1.061000,5754.210500,4471.765700,959.035083,745.294283,213.740800,0.000000,0.000000,213.740800,0.000000,2427.034963,0.000000
53,8:40-8:50,1.043000,5824.180700,4752.827200,970.696783,792.137867,178.558917,0.000000,0.000000,178.558917,0.000000,2228.636167,0.000000
54,8:50-9:00,1.036000,5954.260100,5021.907400,992.376683,836.984567,155.392117,0.000000,0.000000,155.392117,0.000000,2055.978259,0.000000
55,9:00-9:10,1.014700,5958.969600,5285.412600,993.161600,880.902100,112.259500,0.000000,0.000000,112.259500,0.000000,1931.245481,0.000000
56,9:10-9:20,0.992200,5929.555400,5543.174200,988.259233,923.862367,64.396867,0.000000,0.000000,64.396867,0.000000,1859.693407,0.000000
57,9:20-9:30,0.970000,5923.782800,5788.409300,987.297133,964.734883,22.562250,0.000000,0.000000,22.562250,0.000000,1834.624241,0.000000
58,9:30-9:40,0.942200,5907.586000,6012.130400,984.597667,1002.021733,-17.424067,0.000000,17.424067,0.000000,0.000000,1850.305901,0.000000
59,9:40-9:50,0.956900,5899.126200,6216.152800,983.187700,1036.025467,-52.837767,0.000000,52.837767,0.000000,0.000000,1897.859891,0.000000
60,9:50-10:00,0.997700,5902.219600,6409.594100,983.703267,1068.265683,-84.562417,0.000000,84.562417,0.000000,0.000000,1973.966066,0.000000
61,10:00-10:10,0.991900,5897.479300,6599.380800,982.913217,1099.896800,-116.983583,0.000000,116.983583,0.000000,0.000000,2079.251291,0.000000
62,10:10-10:20,0.958800,5886.756800,6766.720400,981.126133,1127.786733,-146.660600,0.000000,146.660600,0.000000,0.000000,2211.245831,0.000000
63,10:20-10:30,0.954900,5873.470800,6914.592300,978.911800,1152.432050,-173.520250,0.000000,173.520250,0.000000,0.000000,2367.414056,0.000000
64,10:30-10:40,0.983900,5858.030800,7064.205300,976.338467,1177.367550,-201.029083,0.000000,201.029083,0.000000,0.000000,2548.340231,0.000000
65,10:40-10:50,0.799000,5844.994800,7197.431500,974.165800,1199.571917,-225.406117,0.000000,225.406117,0.000000,0.000000,2751.205736,0.000000
66,10:50-11:00,0.502500,5839.058700,7303.114200,973.176450,1217.185700,-244.009250,0.000000,244.009250,0.000000,0.000000,2970.814061,0.000000
67,11:00-11:10,0.466200,5838.710300,7387.684800,973.118383,1231.280800,-258.162417,575.170917,833.333333,0.000000,0.000000,3720.814061,268.144681
68,11:10-11:20,0.500700,5823.437800,7459.227000,970.572967,1243.204500,-272.631533,0.000000,272.631533,0.000000,0.000000,3966.182441,0.000000
69,11:20-11:30,0.482700,5814.793200,7520.719100,969.132200,1253.453183,-284.320983,0.000000,284.320983,0.000000,0.000000,4222.071326,0.000000
70,11:30-11:40,0.478500,5832.395100,7568.203900,972.065850,1261.367317,-289.301467,179.277171,468.578638,0.000000,0.000000,4643.792100,85.784127
71,11:40-11:50,0.466200,5712.901000,7592.153900,952.150167,1265.358983,-313.208817,520.124517,833.333333,0.000000,0.000000,5393.792100,242.482050
72,11:50-12:00,0.443200,5519.460700,7601.043300,919.910117,1266.840550,-346.930433,486.402900,833.333333,0.000000,0.000000,6143.792100,215.573765
73,12:00-12:10,0.441100,5494.790700,7612.316000,915.798450,1268.719333,-352.920883,480.412450,833.333333,0.000000,0.000000,6893.792100,211.909932
74,12:10-12:20,0.455100,5514.452400,7602.652400,919.075400,1267.108733,-348.033333,485.300000,833.333333,0.000000,0.000000,7643.792100,220.860030
75,12:20-12:30,0.446300,5485.829000,7554.187200,914.304833,1259.031200,-344.726367,488.606967,833.333333,0.000000,0.000000,8393.792100,218.065289
76,12:30-12:40,0.411300,5462.362800,7472.738400,910.393800,1245.456400,-335.062600,498.270733,833.333333,0.000000,0.000000,9143.792100,204.938753
77,12:40-12:50,0.568200,5566.106600,7393.417200,927.684433,1232.236200,-304.551767,0.000000,304.551767,0.000000,0.000000,9417.888690,0.000000
78,12:50-13:00,0.827900,5725.754800,7312.797900,954.292467,1218.799650,-264.507183,0.000000,264.507183,0.000000,0.000000,9655.945155,0.000000
79,13:00-13:10,0.863600,5739.495700,7194.541000,956.582617,1199.090167,-242.507550,0.000000,242.507550,0.000000,0.000000,9874.201950,0.000000
80,13:10-13:20,0.841600,5714.683600,7053.137100,952.447267,1175.522850,-223.075583,0.000000,223.075583,0.000000,0.000000,10074.969975,0.000000
81,13:20-13:30,0.861800,5717.850500,6910.406400,952.975083,1151.734400,-198.759317,0.000000,198.759317,0.000000,0.000000,10253.853360,0.000000
82,13:30-13:40,0.862300,5708.248600,6772.407500,951.374767,1128.734583,-177.359817,0.000000,177.359817,0.000000,0.000000,10413.477195,0.000000
83,13:40-13:50,0.902600,5696.918200,6607.360000,949.486367,1101.226667,-151.740300,0.000000,151.740300,0.000000,0.000000,10550.043465,0.000000
84,13:50-14:00,0.975400,5692.298300,6412.508500,948.716383,1068.751417,-120.035033,0.000000,120.035033,0.000000,0.000000,10658.074995,0.000000
85,14:00-14:10,1.000200,5687.129100,6214.015800,947.854850,1035.669300,-87.814450,0.000000,87.814450,0.000000,0.000000,10737.108000,0.000000
86,14:10-14:20,0.997800,5678.962000,6000.711200,946.493667,1000.118533,-53.624867,0.000000,53.624867,0.000000,0.000000,10785.370380,0.000000
87,14:20-14:30,1.027100,5669.450800,5766.981600,944.908467,961.163600,-16.255133,0.000000,16.255133,0.000000,0.000000,10800.000000,0.000000
88,14:30-14:40,1.090600,5664.194800,5521.506600,944.032467,920.251100,23.781367,0.000000,0.000000,23.781367,0.000000,10773.576259,0.000000
89,14:40-14:50,0.937600,5672.701100,5268.781000,945.450183,878.130167,67.320017,0.000000,0.000000,67.320017,0.000000,10698.776241,0.000000
90,14:50-15:00,0.669400,5682.254400,5009.715200,947.042400,834.952533,112.089867,112.089867,0.000000,0.000000,0.000000,10698.776241,75.032957
