口径,日期,购电时间段,购电量(kWh),时段数
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,1:30-1:40,3.871967,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,2:20-2:30,9.240328,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,6:50-7:00,20.801086,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,8:50-9:00,64.938303,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,13:50-14:40,281.217447,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,15:00-15:40,146.439106,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,16:00-16:40,53.129528,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,18:00-18:30,66.354433,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,19:20-19:50,79.150083,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,21:00-21:40,64.134661,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,22:40-23:00,64.198350,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-01,23:40-0:00+1,201.121806,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-02,0:00-0:00+1,43978.102017,144
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,0:20-0:40,23.915989,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,1:20-1:30,11.325686,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,1:50-2:20,56.609836,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,2:50-3:30,69.728225,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,3:50-4:40,188.753100,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,4:50-5:00,0.642933,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,5:40-7:00,383.056372,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,7:40-8:00,157.112656,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,9:00-9:50,326.564725,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,10:10-10:50,220.004817,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,11:10-11:40,249.931775,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,11:50-14:10,893.139400,14
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,14:30-15:50,129.297503,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,16:00-17:40,434.390106,10
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,18:10-18:20,1.510189,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,19:10-20:40,111.681789,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,21:00-21:50,226.633603,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,22:20-23:20,112.344133,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-03,23:40-0:00+1,51.735556,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,0:20-0:30,31.121069,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,0:50-1:10,25.254506,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,1:30-2:00,59.694708,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,2:20-3:00,31.756556,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,5:40-6:00,127.863278,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,7:40-9:10,752.108431,9
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,9:20-10:20,259.783022,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,10:50-11:40,254.471767,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,12:50-15:30,1153.417086,16
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,15:50-16:20,10.685722,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,17:00-17:40,206.403206,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,18:20-18:40,27.382394,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,19:40-20:00,33.131939,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,20:40-21:40,102.208228,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-04,22:00-23:00,140.076350,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,0:00-0:30,89.993425,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,0:50-1:20,31.172475,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,1:30-1:50,19.454972,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,2:10-2:40,45.855100,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,2:50-3:00,13.192311,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,3:20-3:30,16.061561,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,3:40-5:00,247.296256,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,5:40-6:20,219.211294,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,6:30-6:50,27.886889,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,7:40-8:40,397.306456,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,9:20-9:50,81.212500,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,10:00-10:30,152.399333,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,10:40-11:10,83.648119,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,11:20-12:40,462.166200,8
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,17:00-17:40,290.734511,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,18:00-18:20,41.797972,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,18:30-18:50,39.106856,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,19:10-19:20,9.837531,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,20:00-20:30,31.359608,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,20:40-21:40,223.857167,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,23:00-23:10,0.405622,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-05,23:20-0:00+1,37.925706,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,0:10-0:30,30.437672,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,0:40-1:10,56.940369,3
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,1:30-1:50,28.775128,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,2:40-3:00,39.334561,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,3:20-4:00,93.568667,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,5:50-6:30,186.980708,4
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,7:50-8:40,429.867172,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,11:00-11:20,99.349428,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,12:10-14:20,615.066536,13
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,14:30-15:30,241.249800,6
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,15:50-17:40,394.292786,11
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,18:10-18:20,7.654447,1
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,18:50-19:10,41.164225,2
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,20:00-20:50,63.185206,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,21:00-21:50,215.582700,5
① 双预报不可知（光伏+负载都用前一日实际）,2025-02-06,22:10-22:20,0.772372,1
