日期,时段序号,时间段,电价(元/kWh说明),电价(元/kWh),小区负载(kW),光伏功率(kW),负载电量(kWh),光伏电量(kWh),净负荷(kWh),计划购电量(kWh),实际购电量(kWh),紧急购电量(kWh),充电量(kWh),放电量(kWh),弃光电量(kWh),时段末储电量(kWh),该时段购电费(元)
2025-02-01,1,0:00-0:10,附件1单日曲线,0.424800,2532.182200,0.000000,422.030367,0.000000,422.030367,1255.363700,1255.363700,0.000000,833.333333,0.000000,0.000000,6750.000000,533.278500
2025-02-01,2,0:10-0:20,附件1单日曲线,0.424500,2492.443900,0.000000,415.407317,0.000000,415.407317,1248.740650,1248.740650,0.000000,833.333333,0.000000,0.000000,7500.000000,530.090406
2025-02-01,3,0:20-0:30,附件1单日曲线,0.426900,2464.300000,0.000000,410.716667,0.000000,410.716667,1244.050000,1244.050000,0.000000,833.333333,0.000000,0.000000,8250.000000,531.084945
2025-02-01,4,0:30-0:40,附件1单日曲线,0.427200,2581.768800,0.000000,430.294800,0.000000,430.294800,430.294800,430.294800,0.000000,0.000000,0.000000,0.000000,8250.000000,183.821939
2025-02-01,5,0:40-0:50,附件1单日曲线,0.427100,2546.463500,0.000000,424.410583,0.000000,424.410583,778.309987,778.309987,0.000000,353.899403,0.000000,0.000000,8568.509463,332.416195
2025-02-01,6,0:50-1:00,附件1单日曲线,0.428500,2436.310000,0.000000,406.051667,0.000000,406.051667,406.051667,406.051667,0.000000,0.000000,0.000000,0.000000,8568.509463,173.993139
2025-02-01,7,1:00-1:10,附件1单日曲线,0.431100,2620.501100,0.000000,436.750183,0.000000,436.750183,436.750183,436.750183,0.000000,0.000000,0.000000,0.000000,8568.509463,188.283004
2025-02-01,8,1:10-1:20,附件1单日曲线,0.430200,2710.786100,0.000000,451.797683,0.000000,451.797683,451.797683,451.797683,0.000000,0.000000,0.000000,0.000000,8568.509463,194.363363
2025-02-01,9,1:20-1:30,附件1单日曲线,0.427900,2676.480000,0.000000,446.080000,0.000000,446.080000,446.080000,446.080000,0.000000,0.000000,0.000000,0.000000,8568.509463,190.877632
2025-02-01,10,1:30-1:40,附件1单日曲线,0.431200,2830.598000,0.000000,471.766333,0.000000,471.766333,471.766333,471.766333,0.000000,0.000000,0.000000,0.000000,8568.509463,203.425643
2025-02-01,11,1:40-1:50,附件1单日曲线,0.433300,2688.155800,0.000000,448.025967,0.000000,448.025967,448.025967,448.025967,0.000000,0.000000,0.000000,0.000000,8568.509463,194.129651
2025-02-01,12,1:50-2:00,附件1单日曲线,0.431100,2384.420000,0.000000,397.403333,0.000000,397.403333,397.403333,397.403333,0.000000,0.000000,0.000000,0.000000,8568.509463,171.320577
2025-02-01,13,2:00-2:10,附件1单日曲线,0.429300,2604.543800,0.000000,434.090633,0.000000,434.090633,434.090633,434.090633,0.000000,0.000000,0.000000,0.000000,8568.509463,186.355109
2025-02-01,14,2:10-2:20,附件1单日曲线,0.432400,2943.365500,0.000000,490.560917,0.000000,490.560917,490.560917,490.560917,0.000000,0.000000,0.000000,0.000000,8568.509463,212.118540
2025-02-01,15,2:20-2:30,附件1单日曲线,0.436700,3019.320000,0.000000,503.220000,0.000000,503.220000,503.220000,503.220000,0.000000,0.000000,0.000000,0.000000,8568.509463,219.756174
2025-02-01,16,2:30-2:40,附件1单日曲线,0.434800,2844.436900,0.000000,474.072817,0.000000,474.072817,474.072817,474.072817,0.000000,0.000000,0.000000,0.000000,8568.509463,206.126861
2025-02-01,17,2:40-2:50,附件1单日曲线,0.433500,2768.306400,0.000000,461.384400,0.000000,461.384400,461.384400,461.384400,0.000000,0.000000,0.000000,0.000000,8568.509463,200.010137
2025-02-01,18,2:50-3:00,附件1单日曲线,0.435700,2861.650000,0.000000,476.941667,0.000000,476.941667,476.941667,476.941667,0.000000,0.000000,0.000000,0.000000,8568.509463,207.803484
